,race,round,position,positionText,constructor,points,wins,win_race,winner_code
1,PreSeason,0,1,1,Mercedes,0,0,0,NO
2,PreSeason,0,2,2,Red Bull,0,0,0,NO
3,PreSeason,0,3,3,McLaren,0,0,0,NO
4,PreSeason,0,4,4,Ferrari,0,0,0,NO
5,PreSeason,0,5,5,AlphaTauri,0,0,0,NO
6,PreSeason,0,6,6,Aston Martin,0,0,0,NO
7,PreSeason,0,7,7,Alfa Romeo,0,0,0,NO
8,PreSeason,0,8,8,Alpine F1 Team,0,0,0,NO
9,PreSeason,0,9,9,Williams,0,0,0,NO
10,PreSeason,0,10,10,Haas F1 Team,0,0,0,NO
11,Bahrain Grand Prix,1,1,1,Mercedes,41,1,1,HAM
12,Bahrain Grand Prix,1,2,2,Red Bull,28,0,0,NO
13,Bahrain Grand Prix,1,3,3,McLaren,18,0,0,NO
14,Bahrain Grand Prix,1,4,4,Ferrari,12,0,0,NO
15,Bahrain Grand Prix,1,5,5,AlphaTauri,2,0,0,NO
16,Bahrain Grand Prix,1,6,6,Aston Martin,1,0,0,NO
17,Bahrain Grand Prix,1,7,7,Alfa Romeo,0,0,0,NO
18,Bahrain Grand Prix,1,8,8,Alpine F1 Team,0,0,0,NO
19,Bahrain Grand Prix,1,9,9,Williams,0,0,0,NO
20,Bahrain Grand Prix,1,10,10,Haas F1 Team,0,0,0,NO
21,Emilia Romagna Grand Prix,2,1,1,Mercedes,60,1,0,NO
22,Emilia Romagna Grand Prix,2,2,2,Red Bull,53,1,1,VER
23,Emilia Romagna Grand Prix,2,3,3,McLaren,41,0,0,NO
24,Emilia Romagna Grand Prix,2,4,4,Ferrari,34,0,0,NO
25,Emilia Romagna Grand Prix,2,5,5,AlphaTauri,8,0,0,NO
26,Emilia Romagna Grand Prix,2,6,6,Aston Martin,5,0,0,NO
27,Emilia Romagna Grand Prix,2,7,7,Alpine F1 Team,3,0,0,NO
28,Emilia Romagna Grand Prix,2,8,8,Alfa Romeo,0,0,0,NO
29,Emilia Romagna Grand Prix,2,9,9,Williams,0,0,0,NO
30,Emilia Romagna Grand Prix,2,10,10,Haas F1 Team,0,0,0,NO
31,Portuguese Grand Prix,3,1,1,Mercedes,101,2,1,HAM
32,Portuguese Grand Prix,3,2,2,Red Bull,83,1,0,NO
33,Portuguese Grand Prix,3,3,3,McLaren,53,0,0,NO
34,Portuguese Grand Prix,3,4,4,Ferrari,42,0,0,NO
35,Portuguese Grand Prix,3,5,5,Alpine F1 Team,13,0,0,NO
36,Portuguese Grand Prix,3,6,6,AlphaTauri,9,0,0,NO
