,race,round,code,constructor
0,PreSeason,0,NO,NO
1,Bahrain Grand Prix,1,HAM,Mercedes
2,Emilia Romagna Grand Prix,2,VER,Red Bull
3,Portuguese Grand Prix,3,HAM,Mercedes
4,Spanish Grand Prix,4,HAM,Mercedes
5,Monaco Grand Prix,5,VER,Red Bull
6,Azerbaijan Grand Prix,6,PER,Red Bull
7,French Grand Prix,7,VER,Red Bull
8,Styrian Grand Prix,8,VER,Red Bull
9,Austrian Grand Prix,9,VER,Red Bull
10,British Grand Prix,10,HAM,Mercedes
11,Hungarian Grand Prix,11,OCO,Alpine F1 Team
12,Belgian Grand Prix,12,VER,Red Bull
13,Dutch Grand Prix,13,VER,Red Bull
14,Italian Grand Prix,14,RIC,McLaren
15,Russian Grand Prix,15,HAM,Mercedes
16,Turkish Grand Prix,16,BOT,Mercedes
17,United States Grand Prix,17,VER,Red Bull
18,Mexico City Grand Prix,18,VER,Red Bull
19,São Paulo Grand Prix,19,HAM,Mercedes
20,Qatar Grand Prix,20,HAM,Mercedes
21,Saudi Arabian Grand Prix,21,HAM,Mercedes
22,Abu Dhabi Grand Prix,22,VER,Red Bull
